HGNC.ID	ENSG	Symbol
HGNC:15860	ENSG00000101161	RP60
HGNC:17340	ENSG00000174231	PRPF8
HGNC:17340	ENSG00000174231	RP13
HGNC:17340	ENSG00000174231	PRPC8
HGNC:17340	ENSG00000174231	Prp8
HGNC:17340	ENSG00000174231	hPrp8
HGNC:17340	ENSG00000174231	SNRNP220
HGNC:17351	ENSG00000165630	PRPF18
HGNC:17351	ENSG00000165630	hPrp18
HGNC:17896	ENSG00000110107	PRPF19
HGNC:17896	ENSG00000110107	PRP19
HGNC:17896	ENSG00000110107	UBOX4
HGNC:17896	ENSG00000110107	NMP200
HGNC:17896	ENSG00000110107	PSO4
HGNC:17896	ENSG00000110107	hPSO4
HGNC:17896	ENSG00000110107	SNEV
HGNC:55484	ENSG00000257052	PRPF19-DT
HGNC:23182	ENSG00000264685	PRPF19P1
HGNC:23182	ENSG00000264685	PRP19P
HGNC:23182	ENSG00000264685	PRPF19P
HGNC:23182	ENSG00000264685	HsT1682
HGNC:15446	ENSG00000105618	PRPF31
HGNC:15446	ENSG00000105618	RP11
HGNC:15446	ENSG00000105618	NY-BR-99
HGNC:15446	ENSG00000105618	PRP31
HGNC:15446	ENSG00000105618	hPrp31
HGNC:15446	ENSG00000105618	SNRNP61
HGNC:40700	ENSG00000237017	PRPF31-AS1
HGNC:25930	ENSG00000134748	PRPF38A
HGNC:25930	ENSG00000134748	FLJ14936
HGNC:25930	ENSG00000134748	Prp38
HGNC:44692	ENSG00000225053	PRPF38AP1
HGNC:44693	ENSG00000236582	PRPF38AP2
HGNC:25512	ENSG00000134186	PRPF38B
HGNC:25512	ENSG00000134186	FLJ10330
HGNC:25512	ENSG00000134186	NET1
HGNC:20314	ENSG00000185246	PRPF39
HGNC:20314	ENSG00000185246	FLJ20666
HGNC:20314	ENSG00000185246	FLJ11128
HGNC:55576	ENSG00000249163	PRPF39-DT
HGNC:16463	ENSG00000196504	PRPF40A
HGNC:16463	ENSG00000196504	FNBP3
HGNC:16463	ENSG00000196504	FLJ20585
HGNC:16463	ENSG00000196504	FBP11
HGNC:16463	ENSG00000196504	HYPA
HGNC:16463	ENSG00000196504	NY-REN-6
HGNC:16463	ENSG00000196504	HIP10
HGNC:16463	ENSG00000196504	FBP-11
HGNC:16463	ENSG00000196504	FLAF1
HGNC:16463	ENSG00000196504	Prp40
HGNC:25031	ENSG00000110844	PRPF40B
HGNC:25031	ENSG00000110844	HYPC
HGNC:9461	ENSG00000135406	PRPH
HGNC:9461	ENSG00000135406	NEF4
HGNC:9461	ENSG00000135406	PRPH1
HGNC:9942	ENSG00000112619	PRPH2
HGNC:9942	ENSG00000112619	RP7
HGNC:9942	ENSG00000112619	RDS
HGNC:9942	ENSG00000112619	TSPAN22
HGNC:9942	ENSG00000112619	rd2
HGNC:9942	ENSG00000112619	CACD2
HGNC:9462	ENSG00000147224	PRPS1
HGNC:9462	ENSG00000147224	DFN2
HGNC:9462	ENSG00000147224	CMTX5
HGNC:9462	ENSG00000147224	DFNX1
HGNC:9463	ENSG00000229937	PRPS1L1
HGNC:9463	ENSG00000229937	PRPSL
HGNC:9463	ENSG00000229937	PRPS3
HGNC:39427	ENSG00000226847	PRPS1P1
HGNC:9464	ENSG00000232630	PRPS1P2
